"PART","where is it going =?","","Quantity","Cost"
"Metal Parts","","","",""
"PIN 3mm","This is for The wing bar to rotate and flap on","","",""
"Stainless Steel M2-0.4 Fully All Threaded Rod,","This is for making it adjustable ","https://www.amazon.ca/dp/B092QC2RD6?th=1 ","1x","12"
"Tie Rod","","https://www.amazon.ca/dp/B0DCPHNBWK ","1x","15"
"(image)M3x12x6mm","This is for gears to rotate on ","https://amzn.to/3SSx5lC ","1x","13"
"M3 Flathead Screws","","https://amzn.to/4w2tZdi ","1x","17"
"M3 Washer Outer D 9mm","This is to screw on the back ","https://amzn.to/4w9FXCl ","1x","9"
"Body","","","",""
"Carbon Fiber Round Tube 3mm x 2mm x 400mm","","https://www.amazon.ca/dp/B0951YBCNW ","1x","21"
"6mm x 4mm x 400mm 3K","","https://www.amazon.ca/dp/B0951XX77P ","1x","30"
"Balsa for the wing 3mm","This is for the wing spars ","","3x","10"
"PETG Filment for protyping","","https://www.amazon.ca/OVERTURE-Filament-Consumables-Dimensional-Accuracy/dp/B07PGYHYV8?crid=26II3HP3A4592&dib=eyJ2IjoiMSJ9.ysAyUoqRZQ2dRVhER6ijj7mogc4clpXqQE2mfjp1gaqPnnG9suptUjfTM0lnHQxi_hE5j5sUys_CGyE7B9iGUGBonmy5uDKxCiVgyMV6_boYEqtJESnVKOG-D6gM4ixjG9S3z_kWYhSdHzJoWLT6uxyzOPn_yI_q-osvdpBunMou2E6OBcnmuRJXWV1_xoDAtyvY5JCTF4W5-EP0BqF1hGPR_VwybZBWTCwLEWHd6q5JQw6m8m4-GhRRC51_JLMvo8IgIuVXhzVK9oRhySFZ5j_DnV3kVbqd04-2fDqwguM.0x0jYw7ToEaNIQ0jZYzd14i4TGM1Ze61q12_2Zych-E&dib_tag=se&keywords=3d%2Bprinter%2Bfilament%2Bpetg&qid=1783313736&sprefix=3d%2Bprinter%2Bfilament%2Bpetg%2Caps%2C195&sr=8-6&th=1 ","2x","23"
"Electronics ","","","",""
"Other Motor","This is 660kv but really pricy","https://rotorvillage.ca/geprc-em4214-660kv-motor/ ","0x","80"
"Motor 900kv","this is the cheaper motor higher kv ratting ","https://rotorvillage.ca/hglrc-my-3215-900kv-brushless-motor/ ","1x","32"
"This is my remote(Control Sticks are broken)","","https://rotorvillage.ca/radiomaster-cnc-ag01-nano-hall-gimbal-set-pocket/?searchid=1314099&search_query=AG01+NANO+CNC+Hall+Gimbals+for+Pocket+Radio ","1x","90"
"Servo ","","https://amzn.to/4aERHDY","1x","23"
"ELRS Micro Receiver","","https://betafpv.com/collections/receivers/products/elrs-micro-receiver ","1x","12"
"GEPRC TAKER S60 BLS 60A ESC","","https://rotorvillage.ca/geprc-taker-s60-bls-60a-esc/ ","1x","23"
"Miscellaneous","","","",""
"Thread locker","","https://www.amazon.ca/Nanoxa-Threadlocker-Removable-Permanent-Fasteners/dp/B0F3YZQC67?dib=eyJ2IjoiMSJ9.Gwg57iFio1DevvmoV4Qxhj780-HXxIp2R3fgTEtA44xAGF7K3X-1ptSR2aw62gIi6kQXxUajZVqzdwfDDK5UbLKTw6DTZaepiHPT5AWb19P7LLdmhYd6awFVF0smKonShn_x1uQz7g1ApAJU6_uWXD-oekm593gXBAQ3RhN0ALFbjANJPadT_2CgxerLoY78AxzI_6umuT166YyAGqYWrFIGlhvxVTA0GXuHQMsFOaTn_T3cslHY-rQ0GUoSvVE7ue3w9UF7PI8aUp9pjxhmiFxOts2Q2UeNgQ4N8LVAIRQ.9wvtgkCNKIO0BEqYLn_or81BT99QcfLn3TaqSZos6js&dib_tag=se&keywords=thread+locker&qid=1784694749&sr=8-7 ","1x","15"
"Shipping(Appx)","","","","50"
"TAX(Appx)","","","","55"
"Total(Appx)","","","",""
